Species,Order,Mass (g),Tb (°C),Tlc (°C),BMR (mlO2/hour),CMIN ,BMR residuals,CMIN residuals,A,I,References
Manucodia chalybatus,Passeriformes,177.2,40.5,20,236.1,11.52,0.1,0,-0.1,0,
Manucodia keraudrenii,Passeriformes,170.7,40.4,25,206,13.38,0.05,0.07,0.02,1,
Nectarinia bifasciata,Passeriformes,6.2,39,24,15.8,1.05,-0.14,-0.3,-0.16,1,
Nectarinia cuprea,Passeriformes,7.1,41,31,25.4,2.54,0.03,0.06,0.03,1,
Nectarinia kilimensis,Passeriformes,16.2,40,25,44.9,2.99,0.05,-0.06,-0.11,0.53,
Nectarinia senegalensis,Passeriformes,13.7,40,30,41.1,4.11,0.05,0.12,0.07,1,
Nectarinia tacazze,Passeriformes,13.5,41.4,25,42.1,2.57,0.07,-0.08,-0.15,0.54,
Nectarinia venusta,Passeriformes,7.6,40,25,25.8,1.72,0.02,-0.13,-0.15,0.87,
Onychognathus morio,Passeriformes,128,39.1,15,221.3,9.18,0.16,-0.03,-0.19,0.14,
Onychognathus tristramii,Passeriformes,123,40.6,21.5,196,10.26,0.12,0.03,-0.09,0,
Padda oryzivora,Passeriformes,24.9,42.5,31,51.1,4.44,-0.02,0.02,0.04,0.51,
Paradisaea raggiana,Passeriformes,215.7,39.7,16,322.7,13.62,0.18,0.03,-0.15,0,
Paradisaea rudolphi,Passeriformes,156.1,40.5,17,262,11.15,0.18,0.01,-0.17,0,
Parotia lawesii,Passeriformes,144.9,39.1,17,206,9.32,0.09,-0.05,-0.14,0.34,
Parotia wahnesi,Passeriformes,164.2,39.7,22,221.8,12.53,0.09,0.05,-0.04,0,
Passer domesticus,Passeriformes,23,38.6,20,63.1,3.39,0.09,-0.08,-0.17,0.47,
Phytotoma rara,Passeriformes,41.6,40.2,22,98.5,5.41,0.12,-0.01,-0.13,0.05,
Pica nuttalli,Passeriformes,151.9,39.4,13.5,252.4,9.75,0.17,-0.04,-0.21,0.18,
Pica pica,Passeriformes,158.9,39.5,21,206,11.14,0.07,0.01,-0.06,0,
Pipra mentalis,Passeriformes,12.3,37.9,26,33.5,2.82,-0.01,-0.02,-0.01,1,
Ptiloris magnificus,Passeriformes,179.4,38.6,22,258.1,15.55,0.13,0.13,0,0,
Pycnonotus sinensis,Passeriformes,25.6,40.3,26.6,66.9,4.88,0.09,0.06,-0.03,0,
Saltator coerulescens,Passeriformes,47,39.4,27,66.9,5.4,-0.08,-0.04,0.04,0,
Saltator orenocensis,Passeriformes,32.7,38.8,27.7,54,4.86,-0.07,0,0.07,0,
Sporophila corvina,Passeriformes,11,39.67,28.9,33.9,3.15,0.03,0.05,0.02,1,
Sturnus sericeus,Passeriformes,64.9,40.5,27.6,153,11.86,0.19,0.24,0.05,1,
Syrmaticus ellioti,Passeriformes,388.25,40.47,23,504.8,28.9,0.21,0.23,0.02,1,
Taeniopygia guttata,Passeriformes,11.7,39.8,30,35.4,3.61,0.03,0.1,0.07,1,
Thryothorus ludovicianus,Passeriformes,14.9,39.4,27,61.7,4.98,0.21,0.18,-0.03,0,
Zonotrichia leucophrys,Passeriformes,28.6,41,23,66,3.67,0.05,-0.09,-0.14,0.65,
Zosterops erythropleurus,Passeriformes,9.16,40.58,25,40.6,2.61,0.16,0.01,-0.15,0,
Zosterops lateralis,Passeriformes,11.8,40.3,29,27.7,2.45,-0.08,-0.07,0.01,0,
Anhinga anhinga,Pelecaniformes,1040,39.7,26,549.2,40.09,-0.03,0.15,0.18,0.83,
Phalacrocorax auritus,Pelecaniformes,1330,39.5,17.5,945,42.95,0.13,0.13,0,0,
Aulacorhynchus prasinus,Piciformes,174.7,38.1,23,142.9,9.46,-0.12,-0.08,0.04,0,
Aulacorhynchus sulcatus,Piciformes,131.7,38.8,23,116.6,7.38,-0.13,-0.13,0,0,
Pteroglossus aracari,Piciformes,200.7,40.9,29,153,12.86,-0.13,0.02,0.15,0.14,
Ramphastos dicolorus,Piciformes,328.9,39.2,20,217.5,11.33,-0.11,-0.14,-0.03,1,
Ramphastos toco,Piciformes,582,39.1,17,416.8,18.86,0.01,-0.05,-0.06,0.83,
Ramphastos tucanus,Piciformes,420.3,39.6,25,294,20.14,-0.05,0.05,0.1,0.51,
Selenidera maculirostris,Piciformes,130.5,38.6,24,186.4,12.77,0.08,0.11,0.03,1,
Podiceps nigricollis,Podicipediformes,317,39.6,15,368.5,14.98,0.13,-0.01,-0.14,0.09,
Fulmarus glacialis,Procellariiformes,651,39.9,9,622.4,20.14,0.15,-0.04,-0.19,0.23,
Oceanites oceanicus,Procellariiformes,42.2,39.7,15,82.2,3.33,0.04,-0.22,-0.26,0.85,
Puffinus pacificus,Procellariiformes,367,39.3,23,400.6,24.58,0.12,0.17,0.05,1,
Amazona viridigenalis,Psittaciformes,341,41.1,26.5,344.2,23.58,0.08,0.17,0.09,1,
Bolborhynchus lineola,Psittaciformes,55.7,40.4,28,107.1,8.64,0.08,0.13,0.05,1,
Cacatua roseicapilla,Psittaciformes,271,39,22,240.9,14.17,-0.01,0,0.01,0,
Cyanoramphus auriceps,Psittaciformes,52.9,38.1,22,84.6,5.25,-0.01,-0.07,-0.06,1,
Cyanoramphus novaezelandiae,Psittaciformes,56.1,37.9,22,90.3,5.68,0,-0.05,-0.05,1,
Cyanoramphus unicolor,Psittaciformes,129.4,40.2,18,185.9,8.37,0.08,-0.07,-0.15,0.46,
Neophema elegans,Psittaciformes,42.02,40,21.2,100.4,5.34,0.13,-0.01,-0.14,0.1,
Neophema pulchella,Psittaciformes,40,40,28.3,94.2,8.05,0.11,0.17,0.06,1,
Neophema splendida,Psittaciformes,40.86,40,26,90.8,6.49,0.09,0.08,-0.01,0,
Nestor meridionalis,Psittaciformes,369.3,39.7,15,368.5,14.92,0.08,-0.05,-0.13,0.38,
Nestor notabilis,Psittaciformes,836.9,39.5,5,763.9,22.14,0.17,-0.06,-0.23,0.26,
Aptenodytes patagonicus,Sphenisciformes,11080,37.5,-5,3760.5,88.48,0.14,-0.03,-0.17,0.16,
Spheniscus humboldti,Sphenisciformes,3870,39,2,1631.9,44.11,0.07,-0.1,-0.17,0.58,
Aegolius acadicus,Strigiformes,118.1,39,24,117.1,7.81,-0.09,-0.08,0.01,0,
Aegolius funereus,Strigiformes,130,39.4,10,194.6,6.62,0.1,-0.17,-0.27,0.63,
Athene cunicularia,Strigiformes,146.7,38,25,133.8,10.29,-0.1,-0.01,0.09,0,
Bubo virginianus,Strigiformes,1000,39.9,20.3,746.7,38.1,0.11,0.14,0.03,1,
Glaucidium gnoma,Strigiformes,52,39,27,71.7,5.98,-0.08,-0.01,0.07,0,
Megascops asio,Strigiformes,141.5,39,26,85.1,6.55,-0.28,-0.19,0.09,0,
Megascops trichopsis,Strigiformes,119,37,27,79.3,7.93,-0.27,-0.07,0.2,0,
Micrathene whitneyi,Strigiformes,45,39,30,43.5,4.83,-0.25,-0.07,0.18,0,
Otus leucotis,Strigiformes,221.1,38.9,20,126.7,6.7,-0.24,-0.28,-0.04,1,
Strix occidentalis,Strigiformes,571,38.5,17,460.3,21.41,0.06,0.01,-0.05,0,
Tyto alba,Strigiformes,533.2,37.8,22.5,308.8,20.18,-0.1,0,0.1,0.01,
Archilochus alexandri,Trochiliformes,3.3,40,27,8.1,0.62,-0.25,-0.39,-0.14,1,
Calypte anna,Trochiliformes,4.5,42,33,12,1.33,-0.17,-0.12,0.05,0,
Patagona gigas,Trochiliformes,19.1,39,27,49.2,4.1,0.04,0.04,0,1,
Selasphorus rufus,Trochiliformes,3.8,40,29,13.3,1.21,-0.08,-0.13,-0.05,1,
Selasphorus sasin,Trochiliformes,3.7,40,30,11.5,1.15,-0.13,-0.14,-0.01,1,
Stellula calliope,Trochiliformes,3,40,36,9.9,2.48,-0.14,0.23,0.37,0.63,
Turnix suscitator,"Turniciformes
",58.1,39,33,66.4,11.07,-0.14,0.23,0.37,0.62,
